sku_id,week_end_date,units_sold,revenue,promo_flag,is_holiday,year,week_of_year,month,season,lag_1,lag_2,lag_3,lag_4,rolling_mean_4,rolling_std_4,rolling_max_4,category,subcategory,unit_cost,list_price,gross_margin_pct,on_hand_units,on_order_units,lead_time_days,reorder_point,gross_profit
SKU-001,2025-01-05,306,298013.4,1,0.0,2025,1,1,Winter,,,,,,0.0,,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,122054.22
SKU-001,2025-01-12,370,360343.0,1,0.0,2025,2,1,Winter,306.0,,,,306.0,0.0,306.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,147581.9
SKU-001,2025-01-19,375,365212.5,1,0.0,2025,3,1,Winter,370.0,306.0,,,338.0,45.25,370.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,149576.25
SKU-001,2025-01-26,397,386638.3,1,1.0,2025,4,1,Winter,375.0,370.0,306.0,,350.33,38.48,375.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,158351.39
SKU-001,2025-02-02,404,393455.6,1,0.0,2025,5,2,Winter,397.0,375.0,370.0,306.0,362.0,39.13,397.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,161143.48
SKU-001,2025-02-09,409,398325.1,1,0.0,2025,6,2,Winter,404.0,397.0,375.0,370.0,386.5,16.54,404.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,163137.83
SKU-001,2025-02-16,408,397351.2,1,0.0,2025,7,2,Winter,409.0,404.0,397.0,375.0,396.25,15.0,409.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,162738.96
SKU-001,2025-02-23,396,385664.4,1,0.0,2025,8,2,Winter,408.0,409.0,404.0,397.0,404.5,5.45,409.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,157952.52
SKU-001,2025-03-02,422,410985.8,1,0.0,2025,9,3,Spring,396.0,408.0,409.0,404.0,404.25,5.91,409.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,168323.14
SKU-001,2025-03-09,378,368134.2,1,0.0,2025,10,3,Spring,422.0,396.0,408.0,409.0,408.75,10.63,422.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,150772.86
SKU-001,2025-03-16,444,432411.6,1,1.0,2025,11,3,Spring,378.0,422.0,396.0,408.0,401.0,18.65,422.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,177098.28
SKU-001,2025-03-23,401,390533.9,1,0.0,2025,12,3,Spring,444.0,378.0,422.0,396.0,410.0,28.98,444.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,159946.87
SKU-001,2025-03-30,394,383716.6,1,0.0,2025,13,3,Spring,401.0,444.0,378.0,422.0,411.25,28.28,444.0,Home Décor,Lighting,575.03,1145.76,49.81,469,0,7,80,157154.78
