date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-03-31,SKU-001,202,229,28.0,229
2025-03-31,SKU-002,108,0,5.0,67
2025-03-31,SKU-003,97,30,7.0,61
2025-03-31,SKU-004,4,29,21.0,37
2025-03-31,SKU-005,261,0,5.0,130
2025-03-31,SKU-006,475,0,28.0,420
2025-03-31,SKU-007,311,75,21.0,151
2025-03-31,SKU-008,52,17,5.0,34
2025-03-31,SKU-009,-15,0,28.0,249
2025-03-31,SKU-010,243,51,28.0,102
2025-03-31,SKU-011,43,18,5.0,36
2025-03-31,SKU-012,81,90,5.0,90
2025-03-31,sku-013,518,135,21.0,271
2025-03-31,SKU-014,12,0,7.0,80
2025-03-31,SKU-015,96,21,5.0,43
2025-03-31,SKU-016,46,93,,117
2025-03-31,SKU-017,303,113,21.0,227
2025-03-31,SKU-018,174,194,21.0,194
2025-03-31,SKU-019,1470,0,14.0,252
2025-03-31,SKU-020,88,99,7.0,99
2025-03-31,SKU-021,96,24,5.0,48
2025-03-31,SKU-022,541,193,28.0,386
2025-03-31,SKU-023,114,0,5.0,24
2025-03-31,SKU-024,252,59,5.0,118
2025-03-31,SKU-025,138,0,5.0,99
2025-03-31,SKU-026,186,0,14.0,214
2025-03-31,SKU-027,929,0,10.0,180
2025-03-31,SKU-028,657,0,10.0,136
2025-03-31,SKU-029,10,29,21.0,37
2025-03-31,SKU-030,150,0,7.0,125
2025-03-31,  SKU-031 ,24,0,14.0,59
2025-03-31,SKU-032,114,169,10.0,169
2025-03-31,SKU-033,70,0,7.0,47
2025-03-31,SKU-034,96,0,7.0,22
2025-03-31,SKU-035,59,197,14.0,247
2025-03-31,SKU-036,29,65,14.0,82
2025-03-31,SKU-037,44,220,28.0,276
2025-03-31,SKU-038,929,231,28.0,462
2025-03-31,SKU-039,543,0,7.0,163
2025-03-31,SKU-040,106,34,7.0,69
2025-03-31,SKU-041,201,0,5.0,131
2025-03-31,SKU-042,352,163,21.0,327
2025-03-31,SKU-043,-4,0,10.0,165
2025-03-31,SKU-044,63,0,28.0,116
2025-03-31,SKU-045,240,0,28.0,321
2025-03-31,SKU-046,58,121,21.0,152
2025-03-31,SKU-047,79,159,10.0,159
2025-03-31,SKU-048,101,200,21.0,200
2025-03-31,SKU-049,190,0,14.0,261
2025-03-31,SKU-050,28,207,14.0,259
2025-03-31,SKU-051,155,76,21.0,152
2025-03-31,SKU-052,162,33,21.0,67
2025-03-31,SKU-053,253,0,21.0,158
2025-03-31,SKU-054,35,108,28.0,136
2025-03-31,SKU-055,29,81,21.0,102
2025-03-31,SKU-056,4,171,28.0,214
2025-03-31,SKU-057,35,0,14.0,46
2025-03-31,SKU-058,321,65,14.0,131
2025-03-31,SKU-059,219,0,21.0,284
2025-03-31,SKU-060,802,0,14.0,172
2025-03-31,SKU-061,66,0,5.0,95
2025-03-31,SKU-062,66,16,10.0,32
2025-03-31,SKU-063,30,58,5.0,58
2025-03-31,SKU-064,97,0,5.0,92
2025-03-31,SKU-065,18,0,10.0,61
2025-03-31,SKU-066,263,0,5.0,113
2025-03-31,SKU-067,19,0,7.0,61
2025-03-31,SKU-068,16,145,10.0,182
2025-03-31,SKU-069,97,0,7.0,27
2025-03-31,SKU-070,129,27,5.0,54
2025-03-31,SKU-071,11,24,5.0,30
2025-03-31,SKU-072,14,51,21.0,64
2025-03-31,SKU-073,345,0,21.0,232
2025-03-31,SKU-074,2213,0,28.0,382
2025-03-31,SKU-075,340,0,10.0,103
2025-03-31,SKU-076,286,115,14.0,231
2025-03-31,SKU-077,20,350,28.0,438
2025-03-31,SKU-078,19,60,,76
2025-03-31,SKU-079,499,133,14.0,267
2025-03-31,SKU-080,41,0,5.0,108
2025-03-31,SKU-081,95,131,14.0,131
2025-03-31,SKU-082,27,97,14.0,122
2025-03-31,SKU-083,786,0,28.0,145
2025-03-31,SKU-084,39,17,14.0,34
2025-03-31,SKU-085,135,0,5.0,102
2025-03-31,SKU-086,484,179,21.0,359
2025-03-31,SKU-087,985,0,10.0,184
2025-03-31,SKU-088,40,54,28.0,54
2025-03-31,SKU-089,74,81,5.0,81
2025-03-31,SKU-090,283,70,7.0,141
2025-03-31,SKU-091,213,0,5.0,104
2025-03-31,SKU-092,623,0,21.0,350
2025-03-31,SKU-093,95,26,7.0,52
2025-03-31,SKU-094,10,24,5.0,31
2025-03-31,SKU-095,26,0,5.0,25
2025-03-31,SKU-096,500,134,28.0,268
2025-03-31,SKU-097,166,0,7.0,67
2025-03-31,SKU-098,30,0,5.0,27
2025-03-31,SKU-099,213,50,10.0,100
2025-03-31,SKU-100,100,28,10.0,56
2025-03-31,SKU-101,105,21,5.0,43
2025-03-31,SKU-102,115,0,5.0,36
2025-03-31,SKU-103,200,0,5.0,34
2025-03-31,SKU-104,65,0,7.0,127
2025-03-31,SKU-105,130,0,14.0,205
2025-03-31,SKU-106,401,0,21.0,220
2025-03-31,SKU-107,2,187,14.0,234
2025-03-31,SKU-108,263,58,5.0,117
2025-03-31,SKU-109,229,0,28.0,317
2025-03-31,SKU-110,258,0,10.0,47
2025-03-31,SKU-111,27,0,28.0,443
2025-03-31,SKU-112,266,82,14.0,165
2025-03-31,SKU-113,94,0,28.0,184
2025-03-31,SKU-114,345,123,21.0,246
2025-03-31,SKU-115,363,0,10.0,155
2025-03-31,SKU-116,15,0,7.0,26
2025-03-31,SKU-117,355,0,28.0,65
2025-03-31,SKU-118,281,66,14.0,133
2025-03-31,SKU-119,1095,222,28.0,445
2025-03-31,SKU-120,412,86,28.0,172
2025-03-31,SKU-121,73,166,28.0,166
2025-03-31,SKU-122,54,0,21.0,50
2025-03-31,SKU-123,11,140,10.0,176
2025-03-31,SKU-124,867,0,14.0,163
2025-03-31,SKU-125,148,0,5.0,65
2025-03-31,SKU-126,146,65,10.0,131
2025-03-31,SKU-127,131,0,5.0,110
2025-03-31,SKU-128,67,0,5.0,39
2025-03-31,SKU-129,60,86,10.0,86
2025-03-31,SKU-130,630,149,28.0,299
2025-03-31,SKU-131,99,25,5.0,50
2025-03-31,SKU-132,387,0,10.0,155
2025-03-31,SKU-133,51,14,10.0,29
2025-03-31,SKU-134,430,172,28.0,344
2025-03-31,SKU-135,364,0,21.0,156
2025-03-31,SKU-136,1229,0,28.0,346
2025-03-31,SKU-137,340,165,28.0,331
2025-03-31,SKU-138,49,49,10.0,49
2025-03-31,SKU-139,2,36,7.0,45
2025-03-31,SKU-140,166,0,5.0,72
2025-03-31,SKU-141,249,91,28.0,182
2025-03-31,SKU-142,84,0,7.0,35
2025-03-31,SKU-143,348,113,28.0,227
2025-03-31,SKU-144,237,0,21.0,123
2025-03-31,SKU-145,564,0,21.0,108
2025-03-31,SKU-146,313,0,7.0,67
2025-03-31,SKU-147,468,105,14.0,211
2025-03-31,SKU-148,171,68,7.0,136
2025-03-31,SKU-149,316,0,5.0,88
2025-03-31,SKU-150,1813,0,28.0,410
2025-03-31,SKU-151,59,104,5.0,104
2025-03-31,SKU-152,107,127,5.0,127
2025-03-31,SKU-153,108,0,5.0,61
2025-03-31,SKU-154,281,133,14.0,267
2025-03-31,SKU-155,150,0,5.0,113
2025-03-31,SKU-156,62,22,5.0,45
2025-03-31,SKU-157,535,0,14.0,172
2025-03-31,SKU-158,19,44,10.0,56
2025-03-31,SKU-159,57,0,5.0,106
2025-03-31,SKU-160,133,0,7.0,75
2025-03-31,SKU-161,250,0,5.0,113
2025-03-31,SKU-162,140,262,28.0,262
2025-03-31,SKU-163,36,9,14.0,18
2025-03-31,SKU-164,23,0,7.0,113
2025-03-31,SKU-165,473,0,21.0,214
