sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU-001,Home Décor,Lighting,2023-08-17,575.03,1145.76
SKU-002,Small Appliances,Blenders,2024-07-12,7470.83,12986.92
SKU-003,Bedding & Bath,Bed Sheets,2023-04-06,2807.67,4265.05
SKU-004,Kitchen & Dining,Dinnerware,2024-07-28,1623.71,2924.32
SKU-005,Furnishings,Bedroom,2024-03-05,21326.46,43096.4
SKU-006,furnishings,Rugs,2023-01-07,1847.63,3685.53
SKU-007,Small Appliances,Blenders,2023-06-09,7175.67,11266.7
SKU-008,Bedding & Bath,Duvets,2023-04-05,4054.52,6900.62
SKU-009,Kitchen & Dining,Cutlery,2024-09-10,1025.55,1972.9
SKU-010,Furnishings,Accent Furniture,2024-07-03,23467.51,47823.01
SKU-011,Home Décor,Lighting,2024-07-19,3419.35,7060.87
SKU-012,Small Appliances,Air Purifiers,2024-01-06,8186.42,13992.72
SKU-013,HOME DÉCOR,Duvets,2023-08-22,3195.54,4881.17
SKU-014,Kitchen & Dining,Glassware,2023-04-14,4934.97,9512.94
SKU-015,Furnishings,Home Office,2024-01-09,11032.38,21859.68
SKU-016,Home Décor,Rugs,2023-10-01,1610.54,3135.17
SKU-017,Small Appliances,Coffee Makers,2023-09-08,6490.31,9641.81
SKU-018,Bedding & Bath,Duvets,2024-10-17,2371.68,3941.66
  SKU-019 ,Kitchen & Dining,Dinnerware,2023-02-27,3612.3,6940.77
SKU-020,Furnishings,Bedroom,2024-02-15,23812.36,49601.8
SKU-021,Home Décor,Wall Art,2024-08-03,698.57,1703.95
SKU-022,Small Appliances,Air Purifiers,2024-10-20,3437.22,5670.09
SKU-023,Bedding & Bath,Pillows,2024-07-28,1285.76,2036.36
SKU-024,Kitchen & Dining,Glassware,2024-08-20,3886.86,6662.92
SKU-025,Furnishings,Home Office,2023-05-22,13006.92,28594.35
SKU-026,small appliances,Vases & Accents,2023-04-23,772.73,1416.4
SKU-027,Small Appliances,Blenders,2024-03-08,6631.33,11910.13
SKU-028,Bedding & Bath,Bed Sheets,2024-04-24,2108.21,3916.07
SKU-029,Kitchen & Dining,Glassware,2023-01-12,4872.74,9406.29
SKU-030,Furnishings,Living Room,2023-10-01,20520.19,39443.54
SKU-031,Home Décor,Wall Art,2024-04-09,834.66,1756.4
SKU-032,Small Appliances,Coffee Makers,2023-09-27,9144.38,16806.7
SKU-033   ,Bedding & Bath,Duvets,2024-10-02,2526.12,3950.46
SKU-034,Kitchen & Dining,Glassware,2023-07-23,4303.35,7547.35
SKU-035,Furnishings,Bedroom,2024-06-27,13286.98,22547.07
SKU-036,Home Décor,Lighting,2023-04-25,2296.83,4919.86
SKU-037,Small Appliances,Air Purifiers,2023-11-11,8566.16,15554.71
SKU-038,Bedding & Bath,Duvets,2023-03-22,996.95,2020.62
SKU-039,Kitchen & Dining,Cookware,2024-06-29,3820.39,7289.35
SKU-040,Furnishings,Bedroom,2024-07-16,7517.2,14171.2
SKU-041,Home Décor,Rugs,2024-03-09,1295.17,3122.27
SKU-042,Small Appliances,Blenders,2023-07-25,8952.63,15914.49
SKU-043,Bedding & Bath,Towels,2024-01-18,2156.57,4103.98
SKU-044,Kitchen & Dining,Cutlery,2023-09-11,4558.3,7866.45
SKU-045,Furnishings,Bedroom,2024-07-21,6004.61,9683.16
SKU-046,Home Décor,Rugs,2024-10-08,-120.0,4088.98
SKU-047,Small Appliances,Coffee Makers,2023-12-05,3562.85,6600.93
SKU-048,Bedding & Bath,Bed Sheets,2024-05-12,2548.13,4247.95
SKU-049,Kitchen & Dining,Dinnerware,2024-08-07,2972.63,5534.07
SKU-050,Furnishings,Home Office,2024-02-21,10210.44,19234.26
SKU-051,Home Décor,Rugs,2023-12-29,782.98,1770.54
SKU-052,Small Appliances,Toasters,2023-02-25,4965.49,9096.37
SKU-053,Bedding & Bath,Bed Sheets,2023-04-22,1006.08,1948.7
SKU-054,Kitchen & Dining,Dinnerware,2023-05-24,1443.0,2551.43
SKU-055,Furnishings,Home Office,2023-03-19,8811.97,16545.15
SKU-056,Home Décor,Vases & Accents,2023-04-11,2924.07,7015.36
SKU-057,Small Appliances,Coffee Makers,2023-01-16,6821.52,11393.94
SKU-058,Bedding & Bath,Bed Sheets,2023-06-20,3949.65,7935.71
SKU-059,Kitchen & Dining,Cutlery,2024-02-15,2736.82,4397.72
SKU-060,Furnishings,Living Room,2024-02-04,8368.97,13401.17
SKU-061,Home Décor,Wall Art,2023-10-20,10017.28,7705.6
SKU-062,Small Appliances,Toasters,2024-07-23,7163.75,12645.83
SKU-063,Bedding & Bath,Pillows,2023-03-01,1326.31,2225.58
SKU-064,Kitchen & Dining,Cookware,2024-08-21,3891.09,5947.85
SKU-065,Furnishings,Home Office,2023-06-11,16316.98,34455.46
SKU-066,Home Décor,Lighting,2023-07-10,3382.34,6277.89
SKU-067,Small Appliances,Coffee Makers,2023-08-29,6381.77,11089.0
SKU-068,Bedding & Bath,Pillows,2023-09-10,1207.61,2456.49
SKU-069,Kitchen & Dining,Cookware,2024-08-20,3325.28,5684.94
SKU-070,Furnishings,Accent Furniture,2023-11-18,26465.6,45588.47
SKU-071,Home Décor,Rugs,2024-10-22,1296.84,2453.12
SKU-072,Small Appliances,Air Purifiers,2023-03-16,5320.63,9920.36
SKU-073,Bedding & Bath,Bed Sheets,2023-04-13,2358.17,4949.97
SKU-074,Kitchen & Dining,Cookware,2023-05-16,2965.59,5198.51
SKU-075,Furnishings,Accent Furniture,2024-01-14,25200.31,53615.23
SKU-076,Home Décor,Wall Art,2023-11-06,973.24,2319.84
SKU-077,Small Appliances,Coffee Makers,2024-11-10,6942.55,11644.75
SKU-078,Bedding & Bath,Bed Sheets,2023-04-29,3992.36,6310.22
SKU-079,Kitchen & Dining,Cookware,2023-10-16,3866.63,6100.47
SKU-080,Furnishings,Bedroom,2024-10-11,21363.89,36792.0
SKU-081,Home Décor,Wall Art,2023-02-22,2016.23,3983.64
SKU-082,Small Appliances,Coffee Makers,2023-02-15,6683.99,12129.26
SKU-083,Bedding & Bath,Bed Sheets,2023-09-26,1934.09,3052.95
